person_id,name,gender,age,n_cases,districts,n_districts,mo_summary,case_ids,years
SYN-P-01643,Madhav Rau,M,50,6,Belagavi; Bengaluru Urban; Tumakuru,3,THEFT x4; CHEATING x2,SYN-C-00037; SYN-C-00047; SYN-C-00211; SYN-C-00291; SYN-C-00327; SYN-C-00362,2019-2023
SYN-P-01693,Naveen Pillay,M,49,6,Bengaluru Urban; Mysuru; Tumakuru,3,THEFT x4; ROBBERY x1; BURGLARY - NIGHT x1,SYN-C-00020; SYN-C-00139; SYN-C-00203; SYN-C-00264; SYN-C-00350; SYN-C-00405,2019-2021
SYN-P-00443,Ekbal Mander,M,50,5,Bengaluru Urban; Kalaburagi; Tumakuru,3,THEFT x4; BURGLARY - NIGHT x1,SYN-C-00003; SYN-C-00042; SYN-C-00229; SYN-C-00280; SYN-C-00320,2020-2023
SYN-P-01388,Daksh Varkey,M,46,5,Belagavi; Bengaluru Urban; Kalaburagi,3,THEFT x4; CHEATING x1,SYN-C-00024; SYN-C-00148; SYN-C-00200; SYN-C-00279; SYN-C-00293,2021-2023
SYN-P-01478,Aadi Mangat,M,42,5,Bengaluru Urban; Kalaburagi; Tumakuru,3,THEFT x2; ROBBERY x2; CHEATING x1,SYN-C-00176; SYN-C-00218; SYN-C-00228; SYN-C-00290; SYN-C-00296,2019-2023
SYN-P-00346,Robert Salvi,M,33,4,Bengaluru Urban; Kalaburagi; Tumakuru,3,THEFT x3; CHEATING x1,SYN-C-00013; SYN-C-00076; SYN-C-00206; SYN-C-00212,2019-2021
SYN-P-00415,Nachiket Gola,M,40,4,Belagavi; Bengaluru Urban; Kalaburagi,3,THEFT x2; BURGLARY - NIGHT x2,SYN-C-00117; SYN-C-00159; SYN-C-00248; SYN-C-00256,2019-2023
SYN-P-00943,Sai Aggarwal,M,51,4,Belagavi; Bengaluru Urban; Kalaburagi,3,THEFT x3; BURGLARY - NIGHT x1,SYN-C-00008; SYN-C-00021; SYN-C-00138; SYN-C-00192,2019-2022
SYN-P-01495,Azaan Bajaj,M,51,4,Belagavi; Bengaluru Urban; Kalaburagi,3,THEFT x4,SYN-C-00032; SYN-C-00055; SYN-C-00119; SYN-C-00162,2019-2023
SYN-P-01717,Xiti Ghose,F,31,4,Belagavi; Bengaluru Urban; Mysuru,3,THEFT x2; CHEATING x2,SYN-C-00187; SYN-C-00216; SYN-C-00244; SYN-C-00348,2019-2020
SYN-P-00310,Gavin Sen,M,48,3,Belagavi; Bengaluru Urban; Tumakuru,3,THEFT x1; MURDER x1; CHEATING x1,SYN-C-00033; SYN-C-00185; SYN-C-00198,2019-2022
SYN-P-01603,Widisha Guha,F,41,7,Belagavi; Bengaluru Urban,2,THEFT x3; DACOITY x1; MURDER x1; CHEATING x1; ROBBERY x1,SYN-C-00012; SYN-C-00030; SYN-C-00050; SYN-C-00099; SYN-C-00103; SYN-C-00193; SYN-C-00209,2019-2022
SYN-P-01687,Karan Barman,M,39,7,Bengaluru Urban; Tumakuru,2,BURGLARY - NIGHT x3; THEFT x3; CHEATING x1,SYN-C-00060; SYN-C-00194; SYN-C-00374; SYN-C-00401; SYN-C-00411; SYN-C-00418; SYN-C-00419,2019-2023
SYN-P-01843,Sarthak Dua,M,26,7,Bengaluru Urban; Tumakuru,2,THEFT x7,SYN-C-00039; SYN-C-00058; SYN-C-00158; SYN-C-00231; SYN-C-00317; SYN-C-00389; SYN-C-00390,2019-2023
SYN-P-00778,Samar Gara,M,48,6,Bengaluru Urban; Tumakuru,2,THEFT x5; ROBBERY x1,SYN-C-00016; SYN-C-00053; SYN-C-00069; SYN-C-00274; SYN-C-00304; SYN-C-00372,2019-2023
SYN-P-01352,Umang Boase,M,18,6,Bengaluru Urban; Kalaburagi,2,THEFT x5; ROBBERY x1,SYN-C-00056; SYN-C-00063; SYN-C-00140; SYN-C-00219; SYN-C-00262; SYN-C-00277,2019-2023
SYN-P-01431,Wahab Mann,M,18,6,Bengaluru Urban; Kalaburagi,2,CHEATING x3; THEFT x2; ROBBERY x1,SYN-C-00070; SYN-C-00116; SYN-C-00132; SYN-C-00154; SYN-C-00188; SYN-C-00262,2019-2023
SYN-P-01579,Ikbal Tata,M,31,6,Bengaluru Urban; Mysuru,2,CHEATING x3; THEFT x2; BURGLARY - NIGHT x1,SYN-C-00015; SYN-C-00026; SYN-C-00084; SYN-C-00104; SYN-C-00182; SYN-C-00253,2020-2022
SYN-P-00334,Oliver Manda,M,43,5,Bengaluru Urban; Mysuru,2,THEFT x2; CHEATING x2; ROBBERY x1,SYN-C-00266; SYN-C-00288; SYN-C-00300; SYN-C-00331; SYN-C-00338,2021-2023
SYN-P-00398,Parth Konda,M,34,5,Bengaluru Urban; Mysuru,2,THEFT x4; ROBBERY x1,SYN-C-00111; SYN-C-00267; SYN-C-00318; SYN-C-00359; SYN-C-00378,2019-2023
SYN-P-00626,Kalpit Pathak,M,33,5,Bengaluru Urban; Kalaburagi,2,THEFT x4; BURGLARY - NIGHT x1,SYN-C-00107; SYN-C-00151; SYN-C-00252; SYN-C-00307; SYN-C-00342,2019-2023
SYN-P-00951,Xiti Sen,F,24,5,Belagavi; Bengaluru Urban,2,THEFT x3; CHEATING x1; BURGLARY - NIGHT x1,SYN-C-00028; SYN-C-00235; SYN-C-00377; SYN-C-00400; SYN-C-00403,2020-2023
SYN-P-01221,Manbir Sanghvi,M,25,5,Bengaluru Urban; Mysuru,2,THEFT x4; CHEATING x1,SYN-C-00049; SYN-C-00062; SYN-C-00215; SYN-C-00223; SYN-C-00294,2020-2023
SYN-P-01859,Karan Padmanabhan,M,33,5,Bengaluru Urban; Tumakuru,2,THEFT x3; CHEATING x1; MURDER x1,SYN-C-00025; SYN-C-00136; SYN-C-00163; SYN-C-00169; SYN-C-00197,2019-2022
SYN-P-00240,Jyoti Karnik,F,36,4,Bengaluru Urban; Mysuru,2,THEFT x3; CHEATING x1,SYN-C-00010; SYN-C-00077; SYN-C-00128; SYN-C-00240,2019-2022
SYN-P-00970,Faras Sabharwal,M,40,4,Belagavi; Bengaluru Urban,2,THEFT x2; CHEATING x1; ROBBERY x1,SYN-C-00135; SYN-C-00241; SYN-C-00278; SYN-C-00282,2020-2023
SYN-P-00985,Hritik Shenoy,M,44,4,Bengaluru Urban; Mysuru,2,THEFT x2; CHEATING x1; BURGLARY - NIGHT x1,SYN-C-00031; SYN-C-00175; SYN-C-00184; SYN-C-00399,2020-2023
SYN-P-00003,David Kapoor,M,31,3,Bengaluru Urban; Tumakuru,2,THEFT x2; CHEATING x1,SYN-C-00088; SYN-C-00137; SYN-C-00155,2021-2022
SYN-P-00148,Hemang Char,M,30,3,Belagavi; Bengaluru Urban,2,DACOITY x1; ROBBERY x1; CHEATING x1,SYN-C-00036; SYN-C-00099; SYN-C-00114,2019-2021
SYN-P-00201,Samaksh Grewal,M,28,3,Belagavi; Bengaluru Urban,2,CHEATING x2; THEFT x1,SYN-C-00006; SYN-C-00094; SYN-C-00108,2019-2021
SYN-P-00765,Leena Deep,F,52,3,Bengaluru Urban; Mysuru,2,THEFT x2; BURGLARY - NIGHT x1,SYN-C-00082; SYN-C-00316; SYN-C-00319,2022-2023
SYN-P-01152,Tristan Solanki,M,19,3,Belagavi; Bengaluru Urban,2,BURGLARY - NIGHT x1; THEFT x1; CHEATING x1,SYN-C-00096; SYN-C-00109; SYN-C-00276,2019-2022
SYN-P-01160,Dominic Kala,M,51,3,Bengaluru Urban; Kalaburagi,2,THEFT x2; CHEATING x1,SYN-C-00022; SYN-C-00177; SYN-C-00221,2019-2023
SYN-P-01386,Riya Goyal,F,44,3,Bengaluru Urban; Kalaburagi,2,THEFT x3,SYN-C-00115; SYN-C-00297; SYN-C-00310,2022-2023
SYN-P-01606,Matthew Viswanathan,M,45,3,Bengaluru Urban; Mysuru,2,THEFT x3,SYN-C-00072; SYN-C-00303; SYN-C-00387,2020-2023
SYN-P-01616,Rajeshri Chand,F,52,3,Belagavi; Bengaluru Urban,2,DACOITY x1; CHEATING x1; MURDER x1,SYN-C-00012; SYN-C-00092; SYN-C-00098,2020-2022
SYN-P-01830,Wyatt Apte,M,20,3,Belagavi; Bengaluru Urban,2,CHEATING x2; THEFT x1,SYN-C-00023; SYN-C-00065; SYN-C-00066,2020-2022
SYN-P-00140,Azad Nori,M,31,7,Mysuru,1,THEFT x3; ROBBERY x2; BURGLARY - NIGHT x1; MURDER x1,SYN-C-00600; SYN-C-00631; SYN-C-00673; SYN-C-00786; SYN-C-01031; SYN-C-01071; SYN-C-01079,2019-2023
SYN-P-00179,Bhavna Dave,F,22,7,Bengaluru Urban,1,THEFT x6; CHEATING x1,SYN-C-00152; SYN-C-00286; SYN-C-00329; SYN-C-00365; SYN-C-00371; SYN-C-00381; SYN-C-00393,2019-2023
SYN-P-00323,Yatan Chopra,M,35,7,Kalaburagi,1,CHEATING x3; BURGLARY - NIGHT x2; THEFT x1; MURDER x1,SYN-C-00269; SYN-C-00449; SYN-C-00452; SYN-C-00565; SYN-C-00615; SYN-C-00947; SYN-C-01403,2019-2023
SYN-P-00386,Amrita Chaudhry,F,41,7,Bengaluru Urban,1,THEFT x6; BURGLARY - NIGHT x1,SYN-C-00054; SYN-C-00126; SYN-C-00131; SYN-C-00259; SYN-C-00341; SYN-C-00343; SYN-C-00363,2019-2022
SYN-P-00533,Ladli Prashad,F,40,7,Bengaluru Urban,1,THEFT x5; CHEATING x1; BURGLARY - NIGHT x1,SYN-C-00035; SYN-C-00191; SYN-C-00333; SYN-C-00361; SYN-C-00404; SYN-C-00415; SYN-C-00417,2019-2023
SYN-P-00600,Viraj Gala,M,47,7,Bengaluru Urban,1,THEFT x5; CHEATING x1; BURGLARY - NIGHT x1,SYN-C-00118; SYN-C-00179; SYN-C-00242; SYN-C-00370; SYN-C-00376; SYN-C-00406; SYN-C-00408,2019-2022
SYN-P-00651,Gunbir Bose,M,19,7,Tumakuru,1,THEFT x4; CHEATING x2; BURGLARY - NIGHT x1,SYN-C-00100; SYN-C-00806; SYN-C-01173; SYN-C-01375; SYN-C-01378; SYN-C-01430; SYN-C-01442,2020-2023
SYN-P-00659,Ladli Bail,F,38,7,Mysuru,1,THEFT x6; CHEATING x1,SYN-C-00612; SYN-C-00655; SYN-C-00722; SYN-C-00727; SYN-C-00771; SYN-C-00778; SYN-C-00880,2019-2023
SYN-P-00822,William Pandya,M,44,7,Tumakuru,1,THEFT x3; BURGLARY - NIGHT x2; ROBBERY x1; CHEATING x1,SYN-C-00809; SYN-C-00957; SYN-C-01118; SYN-C-01228; SYN-C-01254; SYN-C-01295; SYN-C-01425,2019-2023
SYN-P-01006,Liam Taneja,M,47,7,Belagavi,1,THEFT x3; CHEATING x2; BURGLARY - NIGHT x1; MURDER x1,SYN-C-00186; SYN-C-00344; SYN-C-00516; SYN-C-00614; SYN-C-00684; SYN-C-00794; SYN-C-00938,2019-2023
SYN-P-01049,Victor Dhingra,M,28,7,Tumakuru,1,THEFT x3; CHEATING x2; BURGLARY - NIGHT x2,SYN-C-01038; SYN-C-01205; SYN-C-01214; SYN-C-01259; SYN-C-01293; SYN-C-01458; SYN-C-01464,2019-2023
SYN-P-01117,Ansh Chada,M,21,7,Tumakuru,1,ROBBERY x2; THEFT x2; BURGLARY - NIGHT x2; DACOITY x1,SYN-C-00412; SYN-C-00527; SYN-C-00592; SYN-C-00810; SYN-C-00942; SYN-C-00943; SYN-C-00998,2019-2022
SYN-P-01400,Devansh Chakrabarti,M,26,7,Belagavi,1,BURGLARY - NIGHT x3; THEFT x3; CHEATING x1,SYN-C-00557; SYN-C-00728; SYN-C-00915; SYN-C-00988; SYN-C-01127; SYN-C-01207; SYN-C-01235,2019-2023
SYN-P-01668,Arjun Kata,M,20,7,Bengaluru Urban,1,THEFT x6; CHEATING x1,SYN-C-00086; SYN-C-00102; SYN-C-00129; SYN-C-00245; SYN-C-00410; SYN-C-00428; SYN-C-00430,2021-2023
SYN-P-00048,Akshay Bhatnagar,M,39,6,Mysuru,1,THEFT x2; CHEATING x2; ROBBERY x2,SYN-C-00113; SYN-C-00667; SYN-C-00679; SYN-C-00786; SYN-C-00971; SYN-C-00975,2019-2023
SYN-P-00181,Naksh Vaidya,M,20,6,Bengaluru Urban,1,THEFT x5; CHEATING x1,SYN-C-00299; SYN-C-00369; SYN-C-00384; SYN-C-00402; SYN-C-00429; SYN-C-00433,2019-2022
SYN-P-00228,Quincy Jhaveri,M,21,6,Kalaburagi,1,ROBBERY x2; BURGLARY - NIGHT x1; MURDER x1; CHEATING x1; THEFT x1,SYN-C-00514; SYN-C-00744; SYN-C-00984; SYN-C-01185; SYN-C-01307; SYN-C-01308,2019-2022
SYN-P-00326,Jagdish Khanna,M,18,6,Belagavi,1,THEFT x4; MURDER x1; BURGLARY - NIGHT x1,SYN-C-00596; SYN-C-00840; SYN-C-01084; SYN-C-01096; SYN-C-01116; SYN-C-01148,2019-2023
SYN-P-00330,Lakshit Golla,M,52,6,Tumakuru,1,THEFT x3; CHEATING x2; MURDER x1,SYN-C-00994; SYN-C-01271; SYN-C-01363; SYN-C-01404; SYN-C-01445; SYN-C-01447,2019-2023
SYN-P-00513,Anamika Keer,F,29,6,Bengaluru Urban,1,CHEATING x2; BURGLARY - NIGHT x2; THEFT x2,SYN-C-00225; SYN-C-00382; SYN-C-00414; SYN-C-00426; SYN-C-00431; SYN-C-00432,2019-2023
SYN-P-00542,Qadim Barman,M,50,6,Belagavi,1,CHEATING x3; THEFT x3,SYN-C-00561; SYN-C-00575; SYN-C-00791; SYN-C-00865; SYN-C-01039; SYN-C-01172,2019-2023
SYN-P-00616,Ayushman Tara,M,35,6,Kalaburagi,1,THEFT x3; BURGLARY - NIGHT x2; CHEATING x1,SYN-C-00409; SYN-C-00686; SYN-C-01374; SYN-C-01408; SYN-C-01412; SYN-C-01435,2020-2023
SYN-P-00700,Balhaar Chakraborty,M,37,6,Bengaluru Urban,1,THEFT x5; BURGLARY - NIGHT x1,SYN-C-00142; SYN-C-00260; SYN-C-00302; SYN-C-00321; SYN-C-00421; SYN-C-00427,2019-2023
SYN-P-00745,Samaksh Salvi,M,27,6,Belagavi,1,THEFT x4; CHEATING x1; MURDER x1,SYN-C-00146; SYN-C-00584; SYN-C-00884; SYN-C-00923; SYN-C-01135; SYN-C-01248,2019-2023
SYN-P-00770,Vyanjana Wadhwa,F,33,6,Mysuru,1,CHEATING x3; THEFT x2; BURGLARY - NIGHT x1,SYN-C-00001; SYN-C-00043; SYN-C-00492; SYN-C-00496; SYN-C-00748; SYN-C-01010,2019-2023
SYN-P-00798,Hemang Joshi,M,42,6,Bengaluru Urban,1,THEFT x4; BURGLARY - NIGHT x1; MURDER x1,SYN-C-00133; SYN-C-00164; SYN-C-00281; SYN-C-00283; SYN-C-00322; SYN-C-00392,2020-2023
SYN-P-01223,Qabil Nagarajan,M,30,6,Tumakuru,1,ROBBERY x3; BURGLARY - NIGHT x2; CHEATING x1,SYN-C-00556; SYN-C-00587; SYN-C-00790; SYN-C-01080; SYN-C-01209; SYN-C-01226,2019-2023
SYN-P-01239,Aarnav Krish,M,33,6,Bengaluru Urban,1,THEFT x3; DACOITY x1; ROBBERY x1; CHEATING x1,SYN-C-00012; SYN-C-00073; SYN-C-00157; SYN-C-00199; SYN-C-00250; SYN-C-00357,2020-2023
SYN-P-01511,Aarnav Muni,M,48,6,Tumakuru,1,THEFT x3; DACOITY x1; MURDER x1; ROBBERY x1,SYN-C-00373; SYN-C-00412; SYN-C-00483; SYN-C-00812; SYN-C-01153; SYN-C-01162,2019-2023
SYN-P-01797,Michael Dara,M,51,6,Mysuru,1,THEFT x4; BURGLARY - NIGHT x1; ROBBERY x1,SYN-C-01054; SYN-C-01100; SYN-C-01105; SYN-C-01115; SYN-C-01122; SYN-C-01124,2019-2021
SYN-P-01800,Jeet Subramanian,M,23,6,Belagavi,1,THEFT x4; CHEATING x2,SYN-C-00090; SYN-C-00352; SYN-C-00424; SYN-C-01243; SYN-C-01253; SYN-C-01306,2020-2023
SYN-P-01813,Dominic Vora,M,49,6,Tumakuru,1,THEFT x4; BURGLARY - NIGHT x2,SYN-C-00130; SYN-C-00239; SYN-C-00488; SYN-C-00649; SYN-C-00800; SYN-C-01062,2019-2023
SYN-P-01875,Rehaan Lal,M,40,6,Belagavi,1,BURGLARY - NIGHT x3; THEFT x2; ROBBERY x1,SYN-C-00282; SYN-C-00859; SYN-C-00908; SYN-C-00953; SYN-C-00964; SYN-C-01012,2020-2023
SYN-P-00073,Victor Goyal,M,35,5,Mysuru,1,THEFT x3; CHEATING x1; ROBBERY x1,SYN-C-00091; SYN-C-00232; SYN-C-00907; SYN-C-00982; SYN-C-00995,2020-2023
SYN-P-00130,Avi Kala,M,22,5,Bengaluru Urban,1,THEFT x3; CHEATING x1; ROBBERY x1,SYN-C-00000; SYN-C-00147; SYN-C-00190; SYN-C-00249; SYN-C-00254,2019-2023
SYN-P-00146,Jatin Reddy,M,39,5,Belagavi,1,BURGLARY - NIGHT x4; CHEATING x1,SYN-C-00512; SYN-C-00680; SYN-C-00691; SYN-C-00886; SYN-C-00962,2019-2023
SYN-P-00295,Ansh Mani,M,27,5,Tumakuru,1,THEFT x2; BURGLARY - NIGHT x1; MURDER x1; CHEATING x1,SYN-C-00375; SYN-C-00902; SYN-C-01189; SYN-C-01223; SYN-C-01264,2020-2023
SYN-P-00341,Chanakya Hayer,M,44,5,Kalaburagi,1,THEFT x3; BURGLARY - NIGHT x1; MURDER x1,SYN-C-00214; SYN-C-00292; SYN-C-00502; SYN-C-01297; SYN-C-01402,2019-2022
SYN-P-00534,Upkaar Chakrabarti,M,49,5,Bengaluru Urban,1,THEFT x3; ROBBERY x1; CHEATING x1,SYN-C-00087; SYN-C-00173; SYN-C-00213; SYN-C-00237; SYN-C-00272,2019-2023
SYN-P-00636,Bahadurjit Thakkar,M,42,5,Mysuru,1,BURGLARY - NIGHT x2; MURDER x2; THEFT x1,SYN-C-00143; SYN-C-00610; SYN-C-00928; SYN-C-01000; SYN-C-01028,2020-2022
SYN-P-00724,Bachittar Ratti,M,50,5,Bengaluru Urban,1,THEFT x3; CHEATING x1; ROBBERY x1,SYN-C-00172; SYN-C-00311; SYN-C-00336; SYN-C-00351; SYN-C-00355,2019-2023
SYN-P-00933,Lipika Singh,F,36,5,Kalaburagi,1,BURGLARY - NIGHT x3; THEFT x2,SYN-C-00217; SYN-C-00407; SYN-C-00464; SYN-C-00710; SYN-C-00996,2020-2022
SYN-P-00971,Teerth Rama,M,44,5,Mysuru,1,THEFT x2; MURDER x2; CHEATING x1,SYN-C-00379; SYN-C-00792; SYN-C-00891; SYN-C-00916; SYN-C-01024,2019-2022
SYN-P-01032,Udant Sengupta,M,32,5,Kalaburagi,1,THEFT x3; BURGLARY - NIGHT x1; ROBBERY x1,SYN-C-00703; SYN-C-01092; SYN-C-01125; SYN-C-01365; SYN-C-01370,2019-2022
SYN-P-01131,Samuel Pathak,M,54,5,Tumakuru,1,CHEATING x2; THEFT x1; BURGLARY - NIGHT x1; MURDER x1,SYN-C-00580; SYN-C-00783; SYN-C-00972; SYN-C-01093; SYN-C-01098,2019-2022
SYN-P-01545,Faraj Dani,M,31,5,Bengaluru Urban,1,THEFT x3; CHEATING x1; DACOITY x1,SYN-C-00011; SYN-C-00040; SYN-C-00046; SYN-C-00141; SYN-C-00328,2019-2022
SYN-P-01646,Oeshi Bassi,F,53,5,Mysuru,1,CHEATING x2; THEFT x2; BURGLARY - NIGHT x1,SYN-C-00220; SYN-C-00386; SYN-C-00472; SYN-C-00572; SYN-C-00608,2019-2023
SYN-P-01740,Teerth Chhabra,M,42,5,Belagavi,1,THEFT x3; CHEATING x1; MURDER x1,SYN-C-00495; SYN-C-00531; SYN-C-00756; SYN-C-00821; SYN-C-01265,2020-2023
SYN-P-01828,Jai Gade,M,20,5,Bengaluru Urban,1,THEFT x4; CHEATING x1,SYN-C-00029; SYN-C-00061; SYN-C-00166; SYN-C-00271; SYN-C-00284,2019-2023
SYN-P-01866,Ayushman Bhatt,M,44,5,Bengaluru Urban,1,THEFT x4; ROBBERY x1,SYN-C-00093; SYN-C-00168; SYN-C-00201; SYN-C-00263; SYN-C-00301,2019-2023
SYN-P-00125,Yatin Bandi,M,43,4,Bengaluru Urban,1,CHEATING x2; ROBBERY x1; THEFT x1,SYN-C-00014; SYN-C-00083; SYN-C-00150; SYN-C-00224,2019-2023
SYN-P-00283,Forum Aurora,F,25,4,Bengaluru Urban,1,THEFT x3; CHEATING x1,SYN-C-00170; SYN-C-00287; SYN-C-00394; SYN-C-00397,2019-2022
SYN-P-00296,Oscar Warrior,M,23,4,Belagavi,1,THEFT x2; BURGLARY - NIGHT x1; CHEATING x1,SYN-C-00120; SYN-C-00763; SYN-C-00877; SYN-C-00906,2019-2021
SYN-P-00321,Falan Lata,M,24,4,Tumakuru,1,THEFT x2; CHEATING x1; ROBBERY x1,SYN-C-00696; SYN-C-00741; SYN-C-00932; SYN-C-00957,2019-2022
SYN-P-00379,Nathan Peri,M,52,4,Bengaluru Urban,1,THEFT x2; CHEATING x1; BURGLARY - NIGHT x1,SYN-C-00080; SYN-C-00171; SYN-C-00265; SYN-C-00340,2019-2023
SYN-P-00426,Ojas Dalal,M,27,4,Belagavi,1,THEFT x2; BURGLARY - NIGHT x1; CHEATING x1,SYN-C-00676; SYN-C-00959; SYN-C-01036; SYN-C-01086,2021-2023
SYN-P-00537,Qasim Virk,M,44,4,Mysuru,1,THEFT x2; BURGLARY - NIGHT x1; ROBBERY x1,SYN-C-00398; SYN-C-00489; SYN-C-00581; SYN-C-00586,2021-2023
SYN-P-00619,Krishna Dhawan,M,25,4,Kalaburagi,1,BURGLARY - NIGHT x2; THEFT x2,SYN-C-00721; SYN-C-00952; SYN-C-01048; SYN-C-01284,2020-2023
SYN-P-00835,Ayaan Dyal,M,26,4,Mysuru,1,BURGLARY - NIGHT x2; THEFT x2,SYN-C-00324; SYN-C-00347; SYN-C-00732; SYN-C-00770,2021-2023
SYN-P-00913,Amol Kunda,M,39,4,Bengaluru Urban,1,THEFT x2; ROBBERY x1; DACOITY x1,SYN-C-00097; SYN-C-00195; SYN-C-00305; SYN-C-00328,2019-2023
SYN-P-01016,Ryan Varma,M,24,4,Mysuru,1,THEFT x2; CHEATING x1; BURGLARY - NIGHT x1,SYN-C-00273; SYN-C-00573; SYN-C-00873; SYN-C-01001,2021-2023
SYN-P-01054,Aditya Wable,M,22,4,Kalaburagi,1,BURGLARY - NIGHT x2; THEFT x2,SYN-C-00585; SYN-C-01160; SYN-C-01217; SYN-C-01479,2020-2023
SYN-P-01133,Xiti Swamy,F,21,4,Bengaluru Urban,1,THEFT x3; CHEATING x1,SYN-C-00018; SYN-C-00034; SYN-C-00048; SYN-C-00078,2022-2023
SYN-P-01145,Kalpit Prabhu,M,48,4,Tumakuru,1,THEFT x3; ROBBERY x1,SYN-C-00134; SYN-C-00857; SYN-C-00936; SYN-C-01082,2020-2023
SYN-P-01155,Bhavini Narang,F,46,4,Bengaluru Urban,1,CHEATING x2; ROBBERY x1; THEFT x1,SYN-C-00009; SYN-C-00067; SYN-C-00101; SYN-C-00420,2019-2023
SYN-P-01486,Dev Chada,M,45,4,Bengaluru Urban,1,CHEATING x2; THEFT x1; ROBBERY x1,SYN-C-00057; SYN-C-00121; SYN-C-00270; SYN-C-00325,2019-2023
SYN-P-01532,Orinder Chauhan,M,46,4,Mysuru,1,BURGLARY - NIGHT x2; THEFT x1; CHEATING x1,SYN-C-00075; SYN-C-00805; SYN-C-00919; SYN-C-01075,2019-2023
SYN-P-01599,Patrick Banerjee,M,26,4,Bengaluru Urban,1,THEFT x3; CHEATING x1,SYN-C-00183; SYN-C-00204; SYN-C-00210; SYN-C-00238,2021-2022
SYN-P-01642,Avi Sridhar,M,19,4,Belagavi,1,MURDER x2; BURGLARY - NIGHT x1; CHEATING x1,SYN-C-00052; SYN-C-00872; SYN-C-01081; SYN-C-01240,2021-2023
SYN-P-01691,Harish Chahal,M,26,4,Kalaburagi,1,ROBBERY x2; THEFT x1; BURGLARY - NIGHT x1,SYN-C-00367; SYN-C-01009; SYN-C-01307; SYN-C-01390,2019-2020
SYN-P-01770,Luke Parsa,M,39,4,Belagavi,1,BURGLARY - NIGHT x2; THEFT x2,SYN-C-00648; SYN-C-00871; SYN-C-00983; SYN-C-01211,2021-2023
SYN-P-01837,Ekapad Mohan,M,49,4,Bengaluru Urban,1,THEFT x2; CHEATING x1; DACOITY x1,SYN-C-00189; SYN-C-00298; SYN-C-00328; SYN-C-00332,2019-2023
SYN-P-01848,Isaiah Dua,M,40,4,Bengaluru Urban,1,THEFT x3; BURGLARY - NIGHT x1,SYN-C-00064; SYN-C-00110; SYN-C-00125; SYN-C-00312,2020-2023
SYN-P-00202,Abeer Hegde,M,36,3,Belagavi,1,CHEATING x1; MURDER x1; THEFT x1,SYN-C-00174; SYN-C-00663; SYN-C-00866,2021-2023
