case_id,person_id,role,name_as_recorded,father_name_as_recorded,age_as_recorded,gender,district,year
SYN-C-00014,SYN-P-00975,accused,CHAWLA QUINCY,,35,M,Bengaluru Urban,2022
SYN-C-00014,SYN-P-00112,accused,P. BHATIA,,25,F,Bengaluru Urban,2022
SYN-C-00015,SYN-P-01579,accused,TATA IKBAL,,30,M,Bengaluru Urban,2022
SYN-C-00015,SYN-P-00399,accused,P. KHALSA,,43,F,Bengaluru Urban,2022
SYN-C-00016,SYN-P-00778,accused,S. GARA,GABRIEL RAM,50,M,Tumakuru,2023
SYN-C-00017,SYN-P-00239,accused,K. RAVEL,JAIRAJ SANI,22,M,Kalaburagi,2019
SYN-C-00017,SYN-P-00452,accused,JONATHAN CHANDRAN,JEREMIAH SURI,46,M,Kalaburagi,2019
SYN-C-00018,SYN-P-01133,accused,XITI SWAMY,,23,F,Bengaluru Urban,2023
SYN-C-00019,SYN-P-00018,accused,JACK DORA,GAURANG DORA,36,M,Tumakuru,2023
SYN-C-00020,SYN-P-01693,accused,NAWEEN PILLAY,,48,M,Bengaluru Urban,2019
SYN-C-00020,SYN-P-01632,accused,AVI MODI,MANTHAN JAIN,39,M,Bengaluru Urban,2019
SYN-C-00021,SYN-P-00943,accused,SAI AGGARWAL,HARDIK WALI,49,M,Bengaluru Urban,2019
SYN-C-00022,SYN-P-01160,accused,DOMINIC KALA,GABRIEL RANA,52,M,Bengaluru Urban,2023
SYN-C-00023,SYN-P-01830,accused,WYATT APTE,SAKSHAM SEKHON,19,M,Belagavi,2022
SYN-C-00023,SYN-P-01482,accused,W. PATHAK,AAYUSH GADE,30,M,Belagavi,2022
SYN-C-00024,SYN-P-01388,accused,DAKSH VARKEY,,47,M,Belagavi,2021
SYN-C-00024,SYN-P-00833,accused,T. HANS,YUVRAJ RAJU,56,M,Belagavi,2021
SYN-C-00025,SYN-P-01859,accused,PADMANABHAN KARAN,NICHOLAS CHAHAL,33,M,Bengaluru Urban,2022
SYN-C-00025,SYN-P-01019,accused,NACHIKET PILLAY,,18,M,Bengaluru Urban,2022
SYN-C-00026,SYN-P-01579,accused,TATA IKBAL,,30,M,Bengaluru Urban,2022
SYN-C-00027,SYN-P-00493,accused,J. DHAR,PRANEEL PATHAK,31,F,Mysuru,2022
SYN-C-00028,SYN-P-00951,accused,XITI SEN,AYUSHMAN CHHABRA,24,F,Bengaluru Urban,2023
SYN-C-00028,SYN-P-01873,accused,LUKE MAGAR,,54,M,Bengaluru Urban,2023
SYN-C-00029,SYN-P-01828,accused,JAI GADE,TANAY BOBAL,18,M,Bengaluru Urban,2022
SYN-C-00029,SYN-P-00050,accused,HARRISON SEM,SATHVIK DARA,41,M,Bengaluru Urban,2022
SYN-C-00030,SYN-P-01603,accused,WIDISHA GUHA,,41,F,Bengaluru Urban,2022
SYN-C-00031,SYN-P-00985,accused,H. SHENOY,DANIEL BUCH,44,M,Bengaluru Urban,2020
SYN-C-00032,SYN-P-01495,accused,AZAAN BAJAJ,DOMINIC GROVER,53,M,Belagavi,2019
SYN-C-00032,SYN-P-00352,accused,ANMOL BANERJEE,,46,M,Belagavi,2019
SYN-C-00033,SYN-P-00310,accused,G. SEN,QASIM KEER,49,M,Bengaluru Urban,2019
SYN-C-00034,SYN-P-01133,accused,X. SWAMY,ELIJAH VALA,20,F,Bengaluru Urban,2023
SYN-C-00035,SYN-P-00533,accused,LADLI PRASHAD,,39,F,Bengaluru Urban,2019
SYN-C-00036,SYN-P-00148,accused,HEMANG CHAR,ZAID SEKHON,31,M,Bengaluru Urban,2021
SYN-C-00036,SYN-P-00993,accused,DANIEL VIRK,,40,M,Bengaluru Urban,2021
SYN-C-00036,SYN-P-01031,accused,ANJALI NATH,KALPIT MAHAL,45,F,Bengaluru Urban,2021
SYN-C-00036,SYN-P-00189,accused,JONATHAN WASON,QUINCY LANKA,34,M,Bengaluru Urban,2021
SYN-C-00036,SYN-P-01026,accused,K. SEN,HREDHAAN BHARDWAJ,42,F,Bengaluru Urban,2021
SYN-C-00037,SYN-P-01643,accused,MADHAV RAU,,50,M,Belagavi,2019
SYN-C-00038,SYN-P-00208,accused,Z. AURORA,KALPIT KEER,37,M,Kalaburagi,2023
SYN-C-00039,SYN-P-01843,accused,S. DUA,GIRINDRA SHETH,27,M,Bengaluru Urban,2019
SYN-C-00040,SYN-P-01545,accused,F. DANI,KRISH SAGAR,32,M,Bengaluru Urban,2020
SYN-C-00041,SYN-P-00226,accused,BUCH CHRISTOPHER,CHARLES NARAIN,37,M,Mysuru,2021
SYN-C-00041,SYN-P-00175,accused,D. RAMAKRISHNAN,MICHAEL SALVI,40,M,Mysuru,2021
SYN-C-00042,SYN-P-00443,accused,EKBAL MANDER,,51,M,Bengaluru Urban,2022
SYN-C-00042,SYN-P-00332,accused,G. JHA,GOPAL MORAR,25,M,Bengaluru Urban,2022
SYN-C-00043,SYN-P-00770,accused,V. WADHWA,BALJIWAN CHERIAN,32,F,Mysuru,2019
SYN-C-00043,SYN-P-01791,accused,Q. KAUL,BALENDRA BARAL,50,M,Mysuru,2019
SYN-C-00043,SYN-P-01762,accused,ANTHONY DANI,SARTHAK DIVAN,42,M,Mysuru,2019
SYN-C-00044,SYN-P-01777,accused,O. SANT,UDARSH MADAN,43,M,Bengaluru Urban,2023
SYN-C-00045,SYN-P-00625,accused,HORA WAZIR,,20,M,Bengaluru Urban,2023
SYN-C-00046,SYN-P-01545,accused,FARAJ DANI,,33,M,Bengaluru Urban,2019
SYN-C-00047,SYN-P-01643,accused,MADHAV RAU,,50,M,Bengaluru Urban,2022
SYN-C-00048,SYN-P-01133,accused,XITI SWAMY,ELIJAH VALA,20,F,Bengaluru Urban,2022
SYN-C-00049,SYN-P-01221,accused,SANGHVI MANBIR,,24,M,Mysuru,2020
SYN-C-00049,SYN-P-00847,accused,BENJAMIN SWAMY,FALAN SANGHA,22,M,Mysuru,2020
SYN-C-00050,SYN-P-01603,accused,WIDISHA GUHA,INDRAJIT SUBRAMANIAN,41,F,Bengaluru Urban,2021
SYN-C-00051,SYN-P-01306,accused,BATTA JACOB,CALEB BORRA,27,M,Bengaluru Urban,2023
SYN-C-00051,SYN-P-00831,accused,ETHAN MUKHOPADHYAY,,55,M,Bengaluru Urban,2023
SYN-C-00052,SYN-P-01642,accused,AVI SRIDHAR,AARAV CHERIAN,19,M,Belagavi,2023
SYN-C-00052,SYN-P-01147,accused,D. PERI,JAGDISH AURORA,30,M,Belagavi,2023
SYN-C-00053,SYN-P-00778,accused,GARA SAMAR,,47,M,Bengaluru Urban,2021
SYN-C-00054,SYN-P-00386,accused,A. CHAUDHRY,,39,F,Bengaluru Urban,2020
SYN-C-00054,SYN-P-01695,accused,QARIN JHAVERI,VIRAJ SAMPATH,35,M,Bengaluru Urban,2020
SYN-C-00055,SYN-P-01495,accused,AZAAN BAJAJ,DOMINIC GROVER,53,M,Bengaluru Urban,2019
SYN-C-00055,SYN-P-00649,accused,W. DEOL,,38,M,Bengaluru Urban,2019
SYN-C-00056,SYN-P-01352,accused,UMANG BOASE,PRANEEL BORA,20,M,Kalaburagi,2021
SYN-C-00057,SYN-P-01486,accused,DEV CHADA,,44,M,Bengaluru Urban,2021
SYN-C-00057,SYN-P-00052,accused,H. MITTER,,41,M,Bengaluru Urban,2021
SYN-C-00058,SYN-P-01843,accused,SARTHAK DUA,GIRINDRA SHETH,26,M,Tumakuru,2022
SYN-C-00058,SYN-P-01373,accused,ISAAC SHAN,TANISH SAMA,48,M,Tumakuru,2022
SYN-C-00059,SYN-P-01826,accused,ZAYYAN GARG,YUG VENKATESH,21,M,Bengaluru Urban,2022
SYN-C-00059,SYN-P-01357,accused,HREDHAAN RAMACHANDRAN,MOHAMMED PINGLE,41,M,Bengaluru Urban,2022
SYN-C-00060,SYN-P-01687,accused,KARAN BARMAN,OSCAR ROUT,37,M,Bengaluru Urban,2023
SYN-C-00061,SYN-P-01828,accused,JAI GADE,,22,M,Bengaluru Urban,2023
SYN-C-00061,SYN-P-00167,accused,VICTOR GABA,ABHIMANYU BEHL,31,M,Bengaluru Urban,2023
SYN-C-00062,SYN-P-01221,accused,MANBIR SANGHVI,,23,M,Bengaluru Urban,2023
SYN-C-00063,SYN-P-01352,accused,UMANG BOASE,,19,M,Bengaluru Urban,2019
SYN-C-00063,SYN-P-01348,accused,RAYAAN BARAL,,46,M,Bengaluru Urban,2019
SYN-C-00064,SYN-P-01848,accused,ISAIAH DUA,WARINDER KANDA,41,M,Bengaluru Urban,2021
SYN-C-00064,SYN-P-00216,accused,HARSHIL JANI,ANAY BANERJEE,19,M,Bengaluru Urban,2021
SYN-C-00065,SYN-P-01830,accused,WYATT APTE,,20,M,Bengaluru Urban,2020
SYN-C-00065,SYN-P-01600,accused,RUSHIL MITRA,ORINDER PADMANABHAN,32,M,Bengaluru Urban,2020
SYN-C-00066,SYN-P-01830,accused,W. APTE,SAKSHAM SEKHON,22,M,Bengaluru Urban,2021
SYN-C-00066,SYN-P-00638,accused,ZASHIL DASH,,28,M,Bengaluru Urban,2021
SYN-C-00067,SYN-P-01155,accused,BHAVINI NARANG,,44,F,Bengaluru Urban,2019
SYN-C-00068,SYN-P-01231,accused,YUWRAJ GREWAL,MAANAS CHANDRAN,52,M,Tumakuru,2021
SYN-C-00069,SYN-P-00778,accused,SAMAR GARA,GABRIEL RAM,48,M,Bengaluru Urban,2019
SYN-C-00070,SYN-P-01431,accused,MANN WAHAB,BALHAAR GARDE,19,M,Bengaluru Urban,2023
SYN-C-00071,SYN-P-00625,accused,HORA WAZIR,THEODORE RAU,21,M,Bengaluru Urban,2020
SYN-C-00071,SYN-P-01089,accused,PRATYUSH BHAVSAR,,33,M,Bengaluru Urban,2020
SYN-C-00072,SYN-P-01606,accused,MATTHEW VISWANATHAN,,45,M,Mysuru,2020
SYN-C-00073,SYN-P-01239,accused,KRISH AARNAV,,34,M,Bengaluru Urban,2023
SYN-C-00073,SYN-P-01199,accused,RYAN NAGY,KALPIT SEM,23,M,Bengaluru Urban,2023
SYN-C-00074,SYN-P-00081,accused,ZAYYAN DEWAN,ISHWAR CHADA,47,M,Bengaluru Urban,2019
SYN-C-00074,SYN-P-00279,accused,GOYAL MATTHEW,ANAY NAGAR,18,M,Bengaluru Urban,2019
SYN-C-00075,SYN-P-01532,accused,ORINDER CHAUHAN,ONKAR BHATT,45,M,Mysuru,2019
SYN-C-00075,SYN-P-00307,accused,GAUTAM RADHAKRISHNAN,,20,M,Mysuru,2019
SYN-C-00076,SYN-P-00346,accused,ROBERT SALVI,RUDRA BEN,34,M,Tumakuru,2019
SYN-C-00076,SYN-P-00545,accused,RANVEER RAMASWAMY,YUVRAJ BAL,37,M,Tumakuru,2019
SYN-C-00077,SYN-P-00240,accused,JYOTI KARNIK,DAVID SETTY,35,F,Mysuru,2022
SYN-C-00077,SYN-P-00593,accused,O. CHAD,GAVIN APTE,50,M,Mysuru,2022
SYN-C-00078,SYN-P-01133,accused,X. SWAMY,ELIJAH VALA,20,F,Bengaluru Urban,2022
SYN-C-00079,SYN-P-00018,accused,JACK DORA,GAURANG DORA,36,M,Bengaluru Urban,2019
SYN-C-00080,SYN-P-00379,accused,NATHAN PERI,NACHIKET VALA,50,M,Bengaluru Urban,2019
SYN-C-00081,SYN-P-00018,accused,J. DORA,GAURANG DORA,39,M,Mysuru,2023
SYN-C-00082,SYN-P-00765,accused,LEENA DEEP,AZAAN KARA,53,F,Bengaluru Urban,2022
SYN-C-00083,SYN-P-00125,accused,YATIN BANDI,SHIVANSH PATIL,42,M,Bengaluru Urban,2019
SYN-C-00083,SYN-P-00889,accused,M. SANKARAN,CHATRESH VARGHESE,54,M,Bengaluru Urban,2019
SYN-C-00084,SYN-P-01579,accused,TATA IKBAL,QABIL SURI,31,M,Mysuru,2021
SYN-C-00085,SYN-P-00208,accused,AURORA ZEHAAN,,36,M,Bengaluru Urban,2023
SYN-C-00086,SYN-P-01668,accused,ARJUN KATA,WAHAB BANIK,21,M,Bengaluru Urban,2022
SYN-C-00086,SYN-P-00644,accused,ISAAC MENON,NOAH WALI,30,M,Bengaluru Urban,2022
SYN-C-00087,SYN-P-00534,accused,UPKAAR CHAKRABARTI,RUDRA MANNAN,51,M,Bengaluru Urban,2021
SYN-C-00087,SYN-P-01443,accused,OAK JASON,DEVANSH NAIR,55,M,Bengaluru Urban,2021
SYN-C-00088,SYN-P-00003,accused,DAVID KAPOOR,RUSHIL BAWA,32,M,Bengaluru Urban,2021
SYN-C-00089,SYN-P-00018,accused,DORA JACK,GAURANG DORA,37,M,Bengaluru Urban,2020
SYN-C-00090,SYN-P-01800,accused,JEET SUBRAMANIAN,BRIJESH KARA,21,M,Belagavi,2021
SYN-C-00090,SYN-P-01542,accused,ADITYA KRISH,FRADO KARI,23,M,Belagavi,2021
SYN-C-00091,SYN-P-00073,accused,WICTOR GOYAL,KRISH SEHGAL,33,M,Mysuru,2020
SYN-C-00092,SYN-P-01616,accused,R. CHAND,,54,F,Bengaluru Urban,2022
SYN-C-00093,SYN-P-01866,accused,AYUSHMAN BHATT,ONVEER NAYAR,45,M,Bengaluru Urban,2022
SYN-C-00094,SYN-P-00201,accused,SAMAKSH GREWAL,FARIQ BHARDWAJ,26,M,Bengaluru Urban,2020
SYN-C-00094,SYN-P-01266,accused,BAKHSHI BABU,MANTHAN BORRA,45,M,Bengaluru Urban,2020
SYN-C-00095,SYN-P-00874,accused,AAYUSH VARMA,PARTH WALIA,35,M,Bengaluru Urban,2023
SYN-C-00095,SYN-P-01317,accused,RANBIR RASTOGI,WAZIR BALI,21,M,Bengaluru Urban,2023
SYN-C-00096,SYN-P-01152,accused,TRISTAN SOLANKI,CHANDRESH ANAND,17,M,Belagavi,2021
SYN-C-00096,SYN-P-01566,accused,MASON NAGY,AARAV MASTER,52,M,Belagavi,2021
SYN-C-00096,SYN-P-01626,accused,ALKA RANGANATHAN,GUNBIR CHANDRAN,20,F,Belagavi,2021
SYN-C-00097,SYN-P-00913,accused,AMOL KUNDA,NAVEEN KALA,37,M,Bengaluru Urban,2021
SYN-C-00097,SYN-P-01586,accused,BALVEER TRIVEDI,EKANSH RAJA,46,M,Bengaluru Urban,2021
SYN-C-00098,SYN-P-01616,accused,RAJESHRI CHAND,,50,F,Belagavi,2021
SYN-C-00098,SYN-P-01075,accused,ROHAN DUGAL,SAMESH VARMA,30,M,Belagavi,2021
SYN-C-00098,SYN-P-00688,accused,YOGI AZAD,VEER DYAL,48,M,Belagavi,2021
SYN-C-00099,SYN-P-00148,accused,HEMANG CHAR,,28,M,Bengaluru Urban,2019
SYN-C-00099,SYN-P-01603,accused,WIDISHA GUHA,,41,F,Bengaluru Urban,2019
SYN-C-00099,SYN-P-00180,accused,TIMOTHY THAMAN,ANMOL DE,24,M,Bengaluru Urban,2019
SYN-C-00099,SYN-P-01497,accused,GOPAL HARI,ANMOL CHANDA,17,M,Bengaluru Urban,2019
SYN-C-00100,SYN-P-00651,accused,GUNBIR BOSE,THEODORE HORA,17,M,Tumakuru,2021
SYN-C-00100,SYN-P-00584,accused,J. DADA,YUVRAJ MADAN,26,M,Tumakuru,2021
SYN-C-00101,SYN-P-01155,accused,BHAVINI NARANG,CHRISTOPHER KRISHNA,44,F,Bengaluru Urban,2023
SYN-C-00101,SYN-P-01246,accused,JACOB RANDHAWA,DARPAN NAIR,52,M,Bengaluru Urban,2023
SYN-C-00102,SYN-P-01668,accused,KATA ARJUN,WAHAB BANIK,19,M,Bengaluru Urban,2021
SYN-C-00103,SYN-P-01603,accused,WIDISHA GUHA,INDRAJIT SUBRAMANIAN,42,F,Bengaluru Urban,2022
SYN-C-00104,SYN-P-01579,accused,I. TATA,QABIL SURI,30,M,Mysuru,2020
SYN-C-00104,SYN-P-00089,accused,KALLA CHANDRAN,,53,M,Mysuru,2020
SYN-C-00105,SYN-P-00748,accused,HARSH KOTHARI,,28,M,Bengaluru Urban,2021
SYN-C-00105,SYN-P-00203,accused,G. TRIVEDI,AZAD MITAL,51,M,Bengaluru Urban,2021
SYN-C-00106,SYN-P-00447,accused,S. BUMB,NOAH MISHRA,32,M,Bengaluru Urban,2022
SYN-C-00107,SYN-P-00626,accused,KALPIT PATHAK,NATHANIEL RAJAN,32,M,Bengaluru Urban,2023
SYN-C-00107,SYN-P-01253,accused,CHANAKYA CHERIAN,,34,M,Bengaluru Urban,2023
SYN-C-00108,SYN-P-00201,accused,S. GREWAL,FARIQ BHARDWAJ,27,M,Bengaluru Urban,2021
SYN-C-00109,SYN-P-01152,accused,T. SOLANKI,CHANDRESH ANAND,20,M,Bengaluru Urban,2022
SYN-C-00109,SYN-P-01653,accused,FALAN LATA,CALEB PRABHAKAR,34,M,Bengaluru Urban,2022
SYN-C-00110,SYN-P-01848,accused,ISAIAH DUA,,40,M,Bengaluru Urban,2023
SYN-C-00111,SYN-P-00398,accused,PARTH KONDA,GIRISH SIBAL,32,M,Mysuru,2022
SYN-C-00112,SYN-P-00553,accused,IKSHITA VASA,GIRIK YOHANNAN,50,F,Bengaluru Urban,2019
SYN-C-00113,SYN-P-00048,accused,AKSHAY BHATNAGAR,,40,M,Mysuru,2023
SYN-C-00113,SYN-P-01862,accused,DARPAN RAJAN,VINCENT VERMA,51,M,Mysuru,2023
SYN-C-00114,SYN-P-00148,accused,HEMANG CHAR,ZAID SEKHON,32,M,Belagavi,2019
SYN-C-00115,SYN-P-01386,accused,GOYAL RIYA,,45,F,Bengaluru Urban,2023
SYN-C-00116,SYN-P-01431,accused,MANN WAHAB,BALHAAR GARDE,17,M,Kalaburagi,2021
SYN-C-00116,SYN-P-01084,accused,L. RAJAN,YATIN SEHGAL,37,F,Kalaburagi,2021
SYN-C-00117,SYN-P-00415,accused,N. GOLA,,41,M,Bengaluru Urban,2019
SYN-C-00118,SYN-P-00600,accused,V. GALA,,47,M,Bengaluru Urban,2021
SYN-C-00118,SYN-P-00173,accused,A. RATTA,REHAAN PARMER,28,M,Bengaluru Urban,2021
SYN-C-00119,SYN-P-01495,accused,AZAAN BAJAJ,DOMINIC GROVER,53,M,Kalaburagi,2021
SYN-C-00120,SYN-P-00296,accused,OSCAR WARRIOR,XAVIER RAJ,21,M,Belagavi,2020
SYN-C-00121,SYN-P-01486,accused,DEV CHADA,CHANDRAN RAM,47,M,Bengaluru Urban,2023
SYN-C-00122,SYN-P-00744,accused,HRITIK LATA,ANDREW UPPAL,33,M,Kalaburagi,2019
SYN-C-00123,SYN-P-01306,accused,J. BATTA,CALEB BORRA,28,M,Bengaluru Urban,2022
SYN-C-00124,SYN-P-01045,accused,UPMA THAMAN,DALBIR SINGH,32,F,Bengaluru Urban,2023
SYN-C-00125,SYN-P-01848,accused,DUA ISAIAH,,38,M,Bengaluru Urban,2020
SYN-C-00125,SYN-P-01104,accused,D. PRAKASH,CHANAKYA MITTER,50,M,Bengaluru Urban,2020
SYN-C-00126,SYN-P-00386,accused,CHAUDHRY AMRITA,FREDERICK VIRK,42,F,Bengaluru Urban,2019
SYN-C-00127,SYN-P-00553,accused,IKSHITA VASA,,49,F,Bengaluru Urban,2021
SYN-C-00128,SYN-P-00240,accused,KARNIK JYOTI,DAVID SETTY,35,F,Bengaluru Urban,2019
SYN-C-00128,SYN-P-00578,accused,WRIDESH KOTA,QABIL GOLA,25,M,Bengaluru Urban,2019
SYN-C-00129,SYN-P-01668,accused,A. KATA,WAHAB BANIK,22,M,Bengaluru Urban,2021
SYN-C-00130,SYN-P-01813,accused,DOMINIC WORA,OLIVER CHADA,47,M,Tumakuru,2020
SYN-C-00130,SYN-P-01523,accused,QADIM GODA,,29,M,Tumakuru,2020
SYN-C-00131,SYN-P-00386,accused,AMRITA CHAUDHRY,,39,F,Bengaluru Urban,2022
SYN-C-00132,SYN-P-01431,accused,WAHAB MANN,,18,M,Bengaluru Urban,2021
SYN-C-00132,SYN-P-00708,accused,RANBIR PINGLE,,25,M,Bengaluru Urban,2021
SYN-C-00133,SYN-P-00798,accused,H. JOSHI,,41,M,Bengaluru Urban,2020
SYN-C-00133,SYN-P-00603,accused,ONVEER RAGHAVAN,,47,M,Bengaluru Urban,2020
SYN-C-00134,SYN-P-01145,accused,KALPIT PRABHU,CHAKRADEV SASTRY,50,M,Tumakuru,2020
SYN-C-00135,SYN-P-00970,accused,F. SABHARWAL,,39,M,Bengaluru Urban,2021
SYN-C-00135,SYN-P-01507,accused,ABEER VIRK,SHAURYA GOLA,48,M,Bengaluru Urban,2021
SYN-C-00136,SYN-P-01859,accused,KARAN PADMANABHAN,NICHOLAS CHAHAL,32,M,Tumakuru,2022
SYN-C-00137,SYN-P-00003,accused,DAVID KAPOOR,RUSHIL BAWA,30,M,Bengaluru Urban,2022
SYN-C-00138,SYN-P-00943,accused,SAI AGGARWAL,HARDIK WALI,51,M,Bengaluru Urban,2022
SYN-C-00139,SYN-P-01693,accused,N. PILLAY,ARJUN RAJAGOPALAN,48,M,Mysuru,2021
SYN-C-00139,SYN-P-01889,accused,MICHAEL MANNE,TEERTH KORPAL,21,M,Mysuru,2021
SYN-C-00140,SYN-P-01352,accused,BOASE UMANG,PRANEEL BORA,16,M,Bengaluru Urban,2023
SYN-C-00140,SYN-P-00760,accused,GIRISH SETHI,,31,M,Bengaluru Urban,2023
SYN-C-00141,SYN-P-01545,accused,F. DANI,,29,M,Bengaluru Urban,2022
SYN-C-00141,SYN-P-00220,accused,ZAYAN SONI,,37,M,Bengaluru Urban,2022
SYN-C-00142,SYN-P-00700,accused,BALHAAR CHAKRABORTY,NACHIKET LALL,36,M,Bengaluru Urban,2021
SYN-C-00142,SYN-P-00783,accused,WAHAB DIXIT,NAKSH GERA,33,M,Bengaluru Urban,2021
SYN-C-00143,SYN-P-00636,accused,BAHADURJIT THAKKAR,JACOB SANKARAN,43,M,Mysuru,2021
SYN-C-00144,SYN-P-01777,accused,ONVEER SANT,UDARSH MADAN,40,M,Bengaluru Urban,2021
SYN-C-00144,SYN-P-01402,accused,SATHVIK SHERE,SAMESH GOUR,43,M,Bengaluru Urban,2021
SYN-C-00145,SYN-P-01893,accused,W. GOYAL,DARPAN BARMAN,53,M,Mysuru,2023
SYN-C-00146,SYN-P-00745,accused,SALVI SAMAKSH,WAHAB SHA,27,M,Belagavi,2023
SYN-C-00147,SYN-P-00130,accused,AVI KALA,EKAVIR SAGAR,23,M,Bengaluru Urban,2021
SYN-C-00148,SYN-P-01388,accused,DAKSH VARKEY,NATHANIEL RAMAN,48,M,Bengaluru Urban,2022
SYN-C-00149,SYN-P-01206,accused,S. BARIA,VIRAJ NAIDU,42,M,Tumakuru,2020
SYN-C-00149,SYN-P-01453,accused,BHAVNA KRISH,ZAYAN AURORA,47,F,Tumakuru,2020
SYN-C-00149,SYN-P-01336,accused,PRANEEL AMBLE,AZAD SASTRY,25,M,Tumakuru,2020
SYN-C-00150,SYN-P-00125,accused,YATIN BANDI,SHIVANSH PATIL,44,M,Bengaluru Urban,2020
SYN-C-00150,SYN-P-00390,accused,BHAGAT ADVAITH,RUDRA BASSI,39,M,Bengaluru Urban,2020
SYN-C-00151,SYN-P-00626,accused,KALPIT PATHAK,NATHANIEL RAJAN,32,M,Kalaburagi,2021
SYN-C-00151,SYN-P-01883,accused,A. CHADHA,,32,M,Kalaburagi,2021
SYN-C-00152,SYN-P-00179,accused,B. DAVE,,24,F,Bengaluru Urban,2023
SYN-C-00152,SYN-P-01710,accused,SAMARTH SARMA,,41,M,Bengaluru Urban,2023
SYN-C-00153,SYN-P-00859,accused,I. SOM,JEREMIAH LAD,26,M,Bengaluru Urban,2023
SYN-C-00154,SYN-P-01431,accused,WAHAB MANN,,16,M,Bengaluru Urban,2023
SYN-C-00155,SYN-P-00003,accused,DAWID KAPOOR,RUSHIL BAWA,31,M,Tumakuru,2022
SYN-C-00155,SYN-P-01723,accused,YOHANNAN GEORGE,CHRISTOPHER SANKARAN,49,M,Tumakuru,2022
SYN-C-00156,SYN-P-01826,accused,ZAYYAN GARG,YUG VENKATESH,20,M,Bengaluru Urban,2021
SYN-C-00156,SYN-P-00047,accused,GIRISH MALHOTRA,,33,M,Bengaluru Urban,2021
SYN-C-00157,SYN-P-01239,accused,A. KRISH,ZASHIL BHARDWAJ,33,M,Bengaluru Urban,2021
