person_id,name,father_name,gender,age,home_district,is_repeat_offender,n_cases
SYN-P-00113,Yashasvi Wadhwa,Chakradhar Madan,F,49,Belagavi,False,1
SYN-P-00114,Rehaan Ratta,Tarak Muni,M,54,Tumakuru,False,1
SYN-P-00115,Devansh Bali,Warjas Suri,M,40,Belagavi,False,1
SYN-P-00116,Balhaar Raman,Udarsh Kothari,M,43,Bengaluru Urban,False,2
SYN-P-00117,Isaac Dubey,Chatura Shankar,M,36,Belagavi,False,1
SYN-P-00118,Anmol Agarwal,Jackson Barad,M,45,Kalaburagi,False,2
SYN-P-00119,Eesha Krishnamurthy,Daksh Chaudhary,F,31,Bengaluru Urban,False,1
SYN-P-00120,Netra Vohra,Rishi Lal,F,54,Belagavi,False,1
SYN-P-00121,Aadi Anne,Victor Mallick,M,22,Bengaluru Urban,False,1
SYN-P-00122,Jairaj Soman,Jatin Balakrishnan,M,53,Belagavi,False,1
SYN-P-00123,Mitesh Bhakta,Gunbir Tara,M,43,Kalaburagi,False,1
SYN-P-00124,Banjeet Kurian,Simon Prabhakar,M,52,Mysuru,False,1
SYN-P-00125,Yatin Bandi,Shivansh Patil,M,43,Kalaburagi,True,4
SYN-P-00126,Hardik Ahuja,Zayyan Bir,M,38,Bengaluru Urban,False,1
SYN-P-00127,Yug Iyer,Gunbir Kashyap,M,27,Belagavi,False,1
SYN-P-00128,Indrajit Lanka,Chatura Tandon,M,40,Bengaluru Urban,False,1
SYN-P-00129,Jasmit Sundaram,Ayaan Dhingra,F,35,Mysuru,False,1
SYN-P-00130,Avi Kala,Ekavir Sagar,M,22,Mysuru,True,5
SYN-P-00131,Ayushman Gour,Umang Murthy,M,36,Mysuru,False,2
SYN-P-00132,Balveer Gandhi,Girish Goyal,M,43,Belagavi,False,1
SYN-P-00133,Amol Muni,Rachit Narula,M,24,Mysuru,False,2
SYN-P-00134,Frado Chopra,Balveer Mammen,M,41,Tumakuru,False,1
SYN-P-00135,Parth Salvi,Hemang Rai,M,19,Mysuru,False,1
SYN-P-00136,Mohammed Sankaran,Aryan Solanki,M,42,Kalaburagi,False,1
SYN-P-00137,Quincy Sekhon,Neel Patla,M,47,Bengaluru Urban,False,1
SYN-P-00138,Alexander Roy,Samaksh Baria,M,53,Bengaluru Urban,False,1
SYN-P-00139,Anay Shetty,Azaan Kurian,M,34,Belagavi,False,1
SYN-P-00140,Azad Nori,Laban Nayak,M,31,Mysuru,True,7
SYN-P-00141,Lekha Nadig,Manthan Aggarwal,F,35,Belagavi,False,1
SYN-P-00142,Amaira Kaur,Wazir Shroff,F,50,Kalaburagi,False,1
SYN-P-00143,Jeremiah Sani,Dominic Taneja,M,46,Bengaluru Urban,False,1
SYN-P-00144,Aayush Mitter,Jacob Narang,M,21,Kalaburagi,False,1
SYN-P-00145,Veda Pathak,Hardik Ramanathan,F,28,Mysuru,False,1
SYN-P-00146,Jatin Reddy,Anay Subramaniam,M,39,Belagavi,True,5
SYN-P-00147,Faris Sandhu,Balendra Lanka,M,46,Bengaluru Urban,False,1
SYN-P-00148,Hemang Char,Zaid Sekhon,M,30,Tumakuru,True,3
SYN-P-00149,Jackson Deol,Victor Keer,M,54,Tumakuru,False,2
SYN-P-00150,Manan Memon,Krish Pradhan,M,50,Tumakuru,False,1
SYN-P-00151,Kalpit Issac,Jatin Grewal,M,23,Tumakuru,False,1
SYN-P-00152,Jacob Dube,Girindra Narain,M,46,Tumakuru,False,1
SYN-P-00153,Rudra Krishnamurthy,Zehaan Vora,M,44,Mysuru,False,1
SYN-P-00154,Chandresh Shetty,Charan Agrawal,M,30,Tumakuru,False,1
SYN-P-00155,Jack Sen,Anmol Memon,M,20,Kalaburagi,False,1
SYN-P-00156,Darpan Bedi,Gunbir Borde,M,24,Kalaburagi,False,1
SYN-P-00157,Yashvi Gokhale,Kalpit Ahuja,F,47,Tumakuru,False,2
SYN-P-00158,Parth Kalla,Qarin Oak,M,29,Tumakuru,False,1
SYN-P-00159,Anthony Jani,Anirudh Jani,M,45,Belagavi,False,1
SYN-P-00160,Nihal Rege,George Muni,M,40,Tumakuru,False,1
SYN-P-00161,Ishani Balay,Wyatt Bhatnagar,F,38,Mysuru,False,1
SYN-P-00162,Daksha Rana,Chakradev Gade,F,46,Belagavi,False,1
SYN-P-00163,Krishna Rout,Mitesh Sahni,M,19,Mysuru,False,1
SYN-P-00164,Nachiket Parikh,Sathvik Badami,M,24,Belagavi,False,1
SYN-P-00165,Guneet Raman,Harsh Ahuja,M,28,Kalaburagi,False,1
SYN-P-00166,Farhan Sampath,Chakradev Ravi,M,24,Bengaluru Urban,False,1
SYN-P-00167,Victor Gaba,Abhimanyu Behl,M,29,Tumakuru,False,1
SYN-P-00168,Rushil Chakraborty,Zayyan Garg,M,37,Mysuru,False,1
SYN-P-00169,Owen Mander,Frederick Bhavsar,M,35,Kalaburagi,False,1
SYN-P-00170,Rehaan Swaminathan,Matthew Date,M,24,Mysuru,False,1
SYN-P-00171,Wyatt Murty,Rishi Chadha,M,32,Mysuru,False,1
SYN-P-00172,Indrajit Ravel,Warjas Goswami,M,49,Kalaburagi,False,1
SYN-P-00173,Ansh Ratta,Rehaan Parmer,M,30,Tumakuru,False,1
SYN-P-00174,Falan Koshy,Ansh Barad,M,52,Tumakuru,False,1
SYN-P-00175,Daniel Ramakrishnan,Michael Salvi,M,39,Bengaluru Urban,False,1
SYN-P-00176,Kritika Sandal,Qarin Sekhon,F,43,Mysuru,False,1
SYN-P-00177,Hemal Bajaj,Yash Shroff,F,22,Belagavi,False,2
SYN-P-00178,Udant Shanker,Warjas Ratta,M,40,Tumakuru,False,2
SYN-P-00179,Bhavna Dave,Tanveer Pau,F,22,Belagavi,True,7
SYN-P-00180,Timothy Thaman,Anmol De,M,22,Mysuru,False,1
SYN-P-00181,Naksh Vaidya,Avi Thaman,M,20,Bengaluru Urban,True,6
SYN-P-00182,Ekansh Bal,Christopher Hari,M,42,Belagavi,False,1
SYN-P-00183,Yatan Mani,Indrajit Bhatti,M,23,Kalaburagi,False,1
SYN-P-00184,Jonathan Dutt,Laksh Shan,M,35,Bengaluru Urban,False,1
SYN-P-00185,Joshua Thakkar,Hemang Lall,M,24,Kalaburagi,False,1
SYN-P-00186,Nathaniel Pradhan,Hardik Gopal,M,22,Mysuru,False,1
SYN-P-00187,Faris Mall,Raghav Ganguly,M,32,Mysuru,False,1
SYN-P-00188,Dakshesh Wali,Pranit Sethi,M,28,Belagavi,False,1
SYN-P-00189,Jonathan Wason,Quincy Lanka,M,35,Tumakuru,False,1
SYN-P-00190,Qarin Dhingra,Noah Bumb,M,19,Kalaburagi,False,1
SYN-P-00191,Ishwar Goda,Manbir Varty,M,18,Kalaburagi,False,1
SYN-P-00192,Mohammed Munshi,Anay Kant,M,38,Tumakuru,False,1
SYN-P-00193,Maanav Sankaran,Qabil Batta,M,26,Bengaluru Urban,False,3
SYN-P-00194,Yash Karan,Advay Bhagat,M,24,Kalaburagi,False,1
SYN-P-00195,Peter Modi,Pranav Walla,M,44,Bengaluru Urban,False,1
SYN-P-00196,Samuel Mitra,Harsh Peri,M,26,Mysuru,False,1
SYN-P-00197,Fariq Desai,Jairaj Dixit,M,32,Belagavi,False,1
SYN-P-00198,Chanakya Bhatt,Krishna Ratti,M,37,Tumakuru,False,1
SYN-P-00199,Aashi Bhalla,Tristan Vasa,F,26,Kalaburagi,False,1
SYN-P-00200,Jeet Gandhi,Anthony Bhatia,M,22,Belagavi,False,1
SYN-P-00201,Samaksh Grewal,Fariq Bhardwaj,M,28,Tumakuru,True,3
SYN-P-00202,Abeer Hegde,Samuel Iyengar,M,36,Belagavi,True,3
SYN-P-00203,Gagan Trivedi,Azad Mital,M,51,Mysuru,False,1
SYN-P-00204,William Yohannan,Raghav Sarkar,M,42,Mysuru,False,2
SYN-P-00205,Banjeet Sethi,Isaiah Cheema,M,52,Bengaluru Urban,False,1
SYN-P-00206,Jack Barad,Oliver Lall,M,43,Bengaluru Urban,False,1
SYN-P-00207,Kiaan Sarin,Manbir Kalla,M,35,Belagavi,False,1
SYN-P-00208,Zehaan Aurora,Kalpit Keer,M,35,Tumakuru,True,5
SYN-P-00209,Fariq Narain,Robert Narasimhan,M,22,Mysuru,False,2
SYN-P-00210,Ranveer Yadav,Warinder Wali,M,21,Mysuru,False,1
SYN-P-00211,Agastya Sarkar,Mitesh Kala,M,40,Kalaburagi,True,3
SYN-P-00212,Brinda Garg,Amol Bala,F,41,Tumakuru,False,1
SYN-P-00213,Damyanti Edwin,Ekavir Balakrishnan,F,51,Mysuru,False,1
SYN-P-00214,Ansh Devi,Bahadurjit Batra,M,39,Belagavi,False,2
SYN-P-00215,Rajata Iyengar,Rehaan Chhabra,F,34,Kalaburagi,False,1
SYN-P-00216,Harshil Jani,Anay Banerjee,M,20,Belagavi,False,1
SYN-P-00217,Mitali Sood,Dominic Chaudhari,F,21,Tumakuru,False,1
SYN-P-00218,Manan Nagar,Siddharth Lal,M,33,Tumakuru,False,1
SYN-P-00219,Parth Kunda,Arjun Pillai,M,22,Tumakuru,False,1
SYN-P-00220,Zayan Soni,Alexander Sachar,M,38,Mysuru,False,1
SYN-P-00221,Tejas Venkataraman,Oscar Singh,M,33,Bengaluru Urban,False,1
SYN-P-00222,Hritik Chand,Frederick Sarin,M,44,Kalaburagi,False,1
SYN-P-00223,Harrison Mani,Aarnav Pall,M,22,Kalaburagi,False,1
SYN-P-00224,Charvi Swamy,Yug Palan,F,51,Tumakuru,False,1
SYN-P-00225,Fariq Mander,Jack Tara,M,25,Tumakuru,False,1
SYN-P-00226,Christopher Buch,Charles Narain,M,37,Mysuru,True,7
SYN-P-00227,Champak Rattan,Caleb Sami,M,43,Tumakuru,False,1
SYN-P-00228,Quincy Jhaveri,Karan Sangha,M,21,Kalaburagi,True,6
SYN-P-00229,Sachi Kaur,Dev Wali,F,34,Tumakuru,False,1
SYN-P-00230,Owen Narain,Umang Naik,M,47,Kalaburagi,True,3
SYN-P-00231,Vincent Sarna,Jack Date,M,37,Belagavi,False,1
SYN-P-00232,Vihaan Khanna,Kiaan Mitra,M,53,Belagavi,True,3
SYN-P-00233,Garima Kota,Owen Dyal,F,19,Tumakuru,False,1
SYN-P-00234,Nihal Gulati,Charan Gala,M,50,Belagavi,False,1
SYN-P-00235,Guneet Rajagopalan,Ethan Mittal,M,18,Kalaburagi,False,1
SYN-P-00236,Urishilla Mahal,Chatura Chhabra,F,52,Belagavi,False,2
SYN-P-00237,Harshil Rama,Anay Arora,M,39,Mysuru,False,1
SYN-P-00238,Tejas Kapadia,Vincent Bains,M,54,Bengaluru Urban,False,1
SYN-P-00239,Kabir Ravel,Jairaj Sani,M,24,Kalaburagi,True,2
SYN-P-00240,Jyoti Karnik,David Setty,F,36,Kalaburagi,True,4
SYN-P-00241,Naksh Lad,Shaurya Kibe,M,22,Bengaluru Urban,False,1
SYN-P-00242,Farhan Krishna,Wyatt Shah,M,39,Kalaburagi,False,1
SYN-P-00243,Samarth Vasa,Nihal Anne,M,46,Tumakuru,False,1
SYN-P-00244,Yash Cherian,Jeremiah Kamdar,M,42,Kalaburagi,True,1
SYN-P-00245,Harish Venkataraman,Chandresh Shan,M,52,Mysuru,False,1
SYN-P-00246,Wazir Vala,Qasim Vig,M,23,Bengaluru Urban,False,1
SYN-P-00247,Samesh Shan,George Ramanathan,M,27,Tumakuru,False,1
SYN-P-00248,Pranav Bhalla,Laksh Raja,M,25,Bengaluru Urban,False,1
SYN-P-00249,Azaan Arya,Shaurya Salvi,M,26,Belagavi,False,1
SYN-P-00250,Kevin Chopra,Max Rattan,M,29,Kalaburagi,False,1
SYN-P-00251,Shivani Shere,Fitan Dayal,F,33,Kalaburagi,False,1
SYN-P-00252,Inaya Singh,Elijah Pandit,F,50,Belagavi,False,1
SYN-P-00253,Vinaya Menon,Wahab Pant,F,48,Belagavi,False,1
SYN-P-00254,Kiaan Puri,Tanay Grewal,M,31,Belagavi,False,1
SYN-P-00255,Aarav Mand,Jason Mittal,M,46,Mysuru,False,1
SYN-P-00256,Wriddhish Sundaram,Brijesh Patil,M,32,Tumakuru,False,1
SYN-P-00257,Max Rajan,Brijesh Nair,M,21,Kalaburagi,False,1
SYN-P-00258,Zilmil Pai,Abdul Kadakia,F,40,Belagavi,False,1
SYN-P-00259,Manan Krishna,Ekbal Kaur,M,42,Belagavi,False,2
SYN-P-00260,Upkaar Pal,Hemang Rau,M,49,Tumakuru,False,1
SYN-P-00261,Chakradev Mishra,Yug Kala,M,52,Belagavi,False,1
SYN-P-00262,Theodore Dada,Kevin Saini,M,50,Belagavi,False,1
SYN-P-00263,Ekaraj Solanki,Ayush Sule,M,23,Mysuru,False,1
SYN-P-00264,Ekbal Swamy,Zaid Gala,M,52,Kalaburagi,False,1
SYN-P-00265,Faris Nagi,Yuvraj Minhas,M,32,Mysuru,False,1
SYN-P-00266,Rachit Sandhu,Baljiwan Gole,M,22,Tumakuru,False,2
SYN-P-00267,Akshay Bail,Noah Chandra,M,37,Belagavi,False,1
SYN-P-00268,Xavier Dhawan,Hredhaan Sagar,M,30,Bengaluru Urban,False,1
SYN-P-00269,Omkaar Chandra,Onkar Som,M,54,Kalaburagi,False,1
SYN-P-00270,Lucky Saran,Siddharth Krishnamurthy,M,36,Kalaburagi,False,1
SYN-P-00271,Maanav Master,Yatin Raval,M,21,Belagavi,False,1
SYN-P-00272,Zayan Magar,Harsh Tailor,M,40,Tumakuru,False,1
SYN-P-00273,Oni Handa,Mason Datta,F,51,Bengaluru Urban,False,1
SYN-P-00274,Anmol Rastogi,Aryan Rastogi,M,35,Mysuru,False,1
SYN-P-00275,Chatura Ahuja,Girish Soman,M,39,Mysuru,False,1
SYN-P-00276,Zashil Puri,Benjamin Kala,M,46,Bengaluru Urban,False,1
SYN-P-00277,Veer Ghosh,Gautam Bansal,M,28,Kalaburagi,False,1
SYN-P-00278,Chandresh Arya,Ekaraj More,M,22,Kalaburagi,False,1
SYN-P-00279,Matthew Goyal,Anay Nagar,M,20,Mysuru,False,1
SYN-P-00280,Tanveer Bhagat,Anmol Dani,M,30,Kalaburagi,False,1
SYN-P-00281,Samaksh Sekhon,Abhimanyu Ram,M,28,Tumakuru,False,1
SYN-P-00282,Wazir Sachar,Benjamin Sodhi,M,27,Bengaluru Urban,False,1
SYN-P-00283,Forum Aurora,Aarnav Andra,F,25,Bengaluru Urban,True,4
SYN-P-00284,Chaitanya Kamdar,Dhruv Sodhi,M,25,Kalaburagi,False,1
SYN-P-00285,Lakshit Kibe,Girik Bedi,M,29,Tumakuru,False,1
SYN-P-00286,Elijah Chad,Zaid Sharma,M,49,Belagavi,False,1
SYN-P-00287,Atharv Balay,Azaan Aurora,M,29,Bengaluru Urban,False,1
SYN-P-00288,Robert Mukhopadhyay,Fitan Sur,M,27,Mysuru,False,1
SYN-P-00289,Nakul Pillai,Wahab Ganesan,M,35,Bengaluru Urban,False,1
SYN-P-00290,Dalbir Patil,Sathvik Sood,M,37,Bengaluru Urban,False,1
SYN-P-00291,Upkaar Magar,Madhav Mammen,M,49,Mysuru,False,1
SYN-P-00292,Ojas Aurora,Mohammed Sangha,M,31,Belagavi,False,1
SYN-P-00293,Raghav Ram,Jackson Seth,M,19,Mysuru,False,1
SYN-P-00294,Aadi Nagy,Krish Sami,M,30,Bengaluru Urban,False,1
SYN-P-00295,Ansh Mani,Ethan Mahal,M,27,Tumakuru,True,5
SYN-P-00296,Oscar Warrior,Xavier Raj,M,23,Belagavi,True,4
SYN-P-00297,Jackson More,Rudra Shroff,M,51,Tumakuru,False,2
SYN-P-00298,Joshua Andra,Victor Zachariah,M,27,Kalaburagi,False,1
SYN-P-00299,Raagini Bhatnagar,Rushil Verma,F,53,Tumakuru,False,2
SYN-P-00300,Naveen Sood,Girindra Kala,M,31,Tumakuru,False,1
SYN-P-00301,Chakradhar Golla,Pratyush Parmer,M,35,Kalaburagi,False,1
SYN-P-00302,Falan Koshy,Yatin Prasad,M,35,Tumakuru,False,1
SYN-P-00303,Quincy Sheth,Faras Mutti,M,50,Kalaburagi,False,1
SYN-P-00304,Orinder Mand,Champak Bandi,M,23,Kalaburagi,False,2
SYN-P-00305,Xavier Kala,Logan Sandhu,M,23,Kalaburagi,False,1
SYN-P-00306,Vansha Deep,Anirudh Nigam,F,37,Kalaburagi,False,2
SYN-P-00307,Gautam Radhakrishnan,Akshay Behl,M,18,Mysuru,False,1
SYN-P-00308,Qasim Shanker,Azad Ranganathan,M,41,Mysuru,False,1
SYN-P-00309,Chakradev Kurian,Jackson Chakraborty,M,47,Bengaluru Urban,False,1
SYN-P-00310,Gavin Sen,Qasim Keer,M,48,Tumakuru,True,3
SYN-P-00311,Gabriel Barad,Patrick Bhargava,M,26,Bengaluru Urban,False,1
SYN-P-00312,Arjun Kuruvilla,Ayaan Chaudhuri,M,22,Kalaburagi,False,1
SYN-P-00313,Nathan Ahluwalia,Manthan Sastry,M,20,Tumakuru,False,1
SYN-P-00314,Warinder Naik,Kabir Ramakrishnan,M,29,Tumakuru,False,1
SYN-P-00315,Rachit Srivastava,Frado Sastry,M,30,Mysuru,False,1
SYN-P-00316,Ekbal Arora,Gunbir Banik,M,41,Belagavi,False,1
SYN-P-00317,Imaran Brahmbhatt,Ekaraj Sekhon,M,27,Tumakuru,False,1
SYN-P-00318,Reyansh Bains,Upkaar Nori,M,43,Mysuru,False,1
SYN-P-00319,Jackson Sood,Qadim Dhar,M,36,Kalaburagi,False,1
SYN-P-00320,Indrajit Bhandari,Upkaar Dhillon,M,32,Belagavi,False,1
SYN-P-00321,Falan Lata,Samesh Koshy,M,24,Tumakuru,True,4
SYN-P-00322,Amara Madan,Oliver Ganesh,F,30,Kalaburagi,False,1
SYN-P-00323,Yatan Chopra,Vedant Subramanian,M,35,Kalaburagi,True,7
SYN-P-00324,Faraj Varghese,Hitesh Sood,M,23,Belagavi,False,1
SYN-P-00325,Dipta Kurian,Qabil Sankaran,F,20,Tumakuru,False,1
SYN-P-00326,Jagdish Khanna,Robert Mann,M,18,Belagavi,True,6
SYN-P-00327,Finn Bhandari,Ekbal Babu,M,48,Mysuru,False,1
